Source,Target,Weight,Type
tweet3,tweet998,1.0,Undirected
tweet3,tweet999,1.0,Undirected
tweet4,tweet6,1.0,Undirected
tweet4,tweet9,1.0,Undirected
tweet4,tweet16,1.0,Undirected
tweet4,tweet18,1.0,Undirected
tweet4,tweet19,1.0,Undirected
tweet4,tweet21,1.0,Undirected
tweet4,tweet27,1.0,Undirected
tweet4,tweet29,1.0,Undirected
tweet4,tweet31,1.0,Undirected
tweet4,tweet37,1.0,Undirected
tweet4,tweet38,1.0,Undirected
tweet4,tweet41,1.0,Undirected
tweet4,tweet43,1.0,Undirected
tweet4,tweet44,1.0,Undirected
tweet4,tweet45,1.0,Undirected
tweet4,tweet48,1.0,Undirected
tweet4,tweet63,1.0,Undirected
tweet4,tweet64,1.0,Undirected
tweet4,tweet65,1.0,Undirected
tweet4,tweet66,1.0,Undirected
tweet4,tweet68,1.0,Undirected
tweet4,tweet72,1.0,Undirected
tweet4,tweet75,1.0,Undirected
tweet4,tweet80,1.0,Undirected
tweet4,tweet85,1.0,Undirected
tweet4,tweet95,1.0,Undirected
tweet4,tweet101,1.0,Undirected
tweet4,tweet103,1.0,Undirected
tweet4,tweet105,1.0,Undirected
tweet4,tweet107,1.0,Undirected
tweet4,tweet110,1.0,Undirected
tweet4,tweet112,1.0,Undirected
tweet4,tweet114,1.0,Undirected
tweet4,tweet116,1.0,Undirected
tweet4,tweet119,1.0,Undirected
tweet4,tweet120,1.0,Undirected
tweet4,tweet122,1.0,Undirected
tweet4,tweet124,1.0,Undirected
tweet4,tweet125,1.0,Undirected
tweet4,tweet126,1.0,Undirected
tweet4,tweet127,1.0,Undirected
tweet4,tweet128,1.0,Undirected
tweet4,tweet129,1.0,Undirected
tweet4,tweet130,1.0,Undirected
tweet4,tweet131,1.0,Undirected
tweet4,tweet132,1.0,Undirected
tweet4,tweet133,1.0,Undirected
tweet4,tweet134,1.0,Undirected
tweet4,tweet135,1.0,Undirected
tweet4,tweet136,1.0,Undirected
tweet4,tweet137,1.0,Undirected
tweet4,tweet138,1.0,Undirected
tweet4,tweet139,1.0,Undirected
tweet4,tweet140,1.0,Undirected
tweet4,tweet141,1.0,Undirected
tweet4,tweet142,1.0,Undirected
tweet4,tweet143,1.0,Undirected
tweet4,tweet144,1.0,Undirected
tweet4,tweet145,1.0,Undirected
tweet4,tweet146,1.0,Undirected
tweet4,tweet147,1.0,Undirected
tweet4,tweet148,1.0,Undirected
tweet4,tweet149,1.0,Undirected
tweet4,tweet150,1.0,Undirected
tweet4,tweet151,1.0,Undirected
tweet4,tweet152,1.0,Undirected
tweet4,tweet153,1.0,Undirected
tweet4,tweet154,1.0,Undirected
tweet4,tweet155,1.0,Undirected
tweet4,tweet156,1.0,Undirected
tweet4,tweet157,1.0,Undirected
tweet4,tweet158,1.0,Undirected
tweet4,tweet159,1.0,Undirected
tweet4,tweet160,1.0,Undirected
tweet4,tweet161,1.0,Undirected
tweet4,tweet162,1.0,Undirected
tweet4,tweet163,1.0,Undirected
tweet4,tweet164,1.0,Undirected
tweet4,tweet165,1.0,Undirected
tweet4,tweet166,1.0,Undirected
tweet4,tweet167,1.0,Undirected
tweet4,tweet168,1.0,Undirected
tweet4,tweet169,1.0,Undirected
tweet4,tweet170,1.0,Undirected
tweet4,tweet171,1.0,Undirected
tweet4,tweet172,1.0,Undirected
tweet4,tweet174,1.0,Undirected
tweet4,tweet176,1.0,Undirected
tweet4,tweet180,1.0,Undirected
tweet4,tweet183,1.0,Undirected
tweet4,tweet191,1.0,Undirected
tweet4,tweet199,1.0,Undirected
tweet4,tweet201,1.0,Undirected
tweet4,tweet206,1.0,Undirected
tweet4,tweet208,1.0,Undirected
tweet4,tweet209,1.0,Undirected
tweet4,tweet210,1.0,Undirected
tweet4,tweet216,1.0,Undirected
tweet4,tweet217,1.0,Undirected
tweet4,tweet218,1.0,Undirected
tweet4,tweet230,1.0,Undirected
tweet4,tweet250,1.0,Undirected
tweet4,tweet251,1.0,Undirected
tweet4,tweet252,1.0,Undirected
tweet4,tweet254,1.0,Undirected
tweet4,tweet255,1.0,Undirected
tweet4,tweet256,1.0,Undirected
tweet4,tweet258,1.0,Undirected
tweet4,tweet259,1.0,Undirected
tweet4,tweet261,1.0,Undirected
