Source,Target,Weight,Type
tweet3,tweet996,1.0,Undirected
tweet3,tweet997,1.0,Undirected
tweet3,tweet999,1.0,Undirected
tweet4,tweet21,1.0,Undirected
tweet5,tweet8,1.0,Undirected
tweet5,tweet10,1.0,Undirected
tweet5,tweet11,1.0,Undirected
tweet6,tweet7,1.0,Undirected
tweet6,tweet18,1.0,Undirected
tweet6,tweet19,1.0,Undirected
tweet6,tweet29,1.0,Undirected
tweet6,tweet30,1.0,Undirected
tweet6,tweet33,1.0,Undirected
tweet6,tweet39,1.0,Undirected
tweet6,tweet62,1.0,Undirected
tweet6,tweet66,1.0,Undirected
tweet6,tweet70,1.0,Undirected
tweet6,tweet73,1.0,Undirected
tweet6,tweet95,1.0,Undirected
tweet6,tweet99,1.0,Undirected
tweet6,tweet102,1.0,Undirected
tweet6,tweet103,1.0,Undirected
tweet6,tweet107,1.0,Undirected
tweet6,tweet112,1.0,Undirected
tweet6,tweet115,1.0,Undirected
tweet6,tweet118,1.0,Undirected
tweet6,tweet119,1.0,Undirected
tweet6,tweet124,1.0,Undirected
tweet6,tweet179,1.0,Undirected
tweet6,tweet182,1.0,Undirected
tweet6,tweet206,1.0,Undirected
tweet6,tweet207,1.0,Undirected
tweet6,tweet208,1.0,Undirected
tweet6,tweet209,1.0,Undirected
tweet6,tweet222,1.0,Undirected
tweet6,tweet227,1.0,Undirected
tweet6,tweet228,1.0,Undirected
tweet6,tweet253,1.0,Undirected
tweet6,tweet257,1.0,Undirected
tweet6,tweet268,1.0,Undirected
tweet6,tweet287,1.0,Undirected
tweet6,tweet294,1.0,Undirected
tweet6,tweet301,1.0,Undirected
tweet6,tweet312,1.0,Undirected
tweet6,tweet324,1.0,Undirected
tweet6,tweet330,1.0,Undirected
tweet6,tweet332,1.0,Undirected
tweet6,tweet339,1.0,Undirected
tweet6,tweet344,1.0,Undirected
tweet6,tweet351,1.0,Undirected
tweet6,tweet355,1.0,Undirected
tweet6,tweet364,1.0,Undirected
tweet6,tweet388,1.0,Undirected
tweet6,tweet401,1.0,Undirected
tweet6,tweet405,1.0,Undirected
tweet6,tweet414,1.0,Undirected
tweet6,tweet416,1.0,Undirected
tweet6,tweet420,1.0,Undirected
tweet6,tweet431,1.0,Undirected
tweet6,tweet434,1.0,Undirected
tweet6,tweet436,1.0,Undirected
tweet6,tweet441,1.0,Undirected
tweet6,tweet452,1.0,Undirected
tweet6,tweet466,1.0,Undirected
tweet6,tweet467,1.0,Undirected
tweet6,tweet469,1.0,Undirected
tweet6,tweet470,1.0,Undirected
tweet6,tweet474,1.0,Undirected
tweet6,tweet485,1.0,Undirected
tweet6,tweet491,1.0,Undirected
tweet6,tweet494,1.0,Undirected
tweet6,tweet497,1.0,Undirected
tweet6,tweet500,1.0,Undirected
tweet6,tweet505,1.0,Undirected
tweet6,tweet506,1.0,Undirected
tweet6,tweet508,1.0,Undirected
tweet6,tweet509,1.0,Undirected
tweet6,tweet510,1.0,Undirected
tweet6,tweet512,1.0,Undirected
tweet6,tweet514,1.0,Undirected
tweet6,tweet515,1.0,Undirected
tweet6,tweet517,1.0,Undirected
tweet6,tweet518,1.0,Undirected
tweet6,tweet523,1.0,Undirected
tweet6,tweet529,1.0,Undirected
tweet6,tweet534,1.0,Undirected
tweet6,tweet537,1.0,Undirected
tweet6,tweet539,1.0,Undirected
tweet6,tweet540,1.0,Undirected
tweet6,tweet542,1.0,Undirected
tweet6,tweet548,1.0,Undirected
tweet6,tweet552,1.0,Undirected
tweet6,tweet562,1.0,Undirected
tweet6,tweet563,1.0,Undirected
tweet6,tweet565,1.0,Undirected
tweet6,tweet567,1.0,Undirected
tweet6,tweet570,1.0,Undirected
tweet6,tweet571,1.0,Undirected
tweet6,tweet572,1.0,Undirected
tweet6,tweet575,1.0,Undirected
tweet6,tweet582,1.0,Undirected
tweet6,tweet584,1.0,Undirected
tweet6,tweet591,1.0,Undirected
tweet6,tweet599,1.0,Undirected
tweet6,tweet600,1.0,Undirected
tweet6,tweet603,1.0,Undirected
tweet6,tweet605,1.0,Undirected
tweet6,tweet607,1.0,Undirected
tweet6,tweet613,1.0,Undirected
tweet6,tweet626,1.0,Undirected
tweet6,tweet627,1.0,Undirected
tweet6,tweet629,1.0,Undirected
tweet6,tweet632,1.0,Undirected
tweet6,tweet633,1.0,Undirected
tweet6,tweet635,1.0,Undirected
tweet6,tweet643,1.0,Undirected
tweet6,tweet644,1.0,Undirected
tweet6,tweet648,1.0,Undirected
tweet6,tweet649,1.0,Undirected
tweet6,tweet653,1.0,Undirected
tweet6,tweet657,1.0,Undirected
tweet6,tweet661,1.0,Undirected
tweet6,tweet662,1.0,Undirected
tweet6,tweet664,1.0,Undirected
tweet6,tweet673,1.0,Undirected
tweet6,tweet677,1.0,Undirected
tweet6,tweet682,1.0,Undirected
tweet6,tweet684,1.0,Undirected
tweet6,tweet686,1.0,Undirected
tweet6,tweet688,1.0,Undirected
tweet6,tweet692,1.0,Undirected
tweet6,tweet695,1.0,Undirected
tweet6,tweet696,1.0,Undirected
tweet6,tweet697,1.0,Undirected
tweet6,tweet701,1.0,Undirected
tweet6,tweet706,1.0,Undirected
tweet6,tweet709,1.0,Undirected
tweet6,tweet713,1.0,Undirected
tweet6,tweet720,1.0,Undirected
tweet6,tweet722,1.0,Undirected
tweet6,tweet724,1.0,Undirected
tweet6,tweet726,1.0,Undirected
tweet6,tweet727,1.0,Undirected
tweet6,tweet729,1.0,Undirected
tweet6,tweet730,1.0,Undirected
tweet6,tweet732,1.0,Undirected
tweet6,tweet734,1.0,Undirected
tweet6,tweet735,1.0,Undirected
tweet6,tweet737,1.0,Undirected
tweet6,tweet738,1.0,Undirected
tweet6,tweet739,1.0,Undirected
tweet6,tweet743,1.0,Undirected
tweet6,tweet754,1.0,Undirected
tweet6,tweet757,1.0,Undirected
tweet6,tweet758,1.0,Undirected
tweet6,tweet759,1.0,Undirected
tweet6,tweet761,1.0,Undirected
tweet6,tweet762,1.0,Undirected
tweet6,tweet766,1.0,Undirected
tweet6,tweet768,1.0,Undirected
tweet6,tweet770,1.0,Undirected
tweet6,tweet771,1.0,Undirected
tweet6,tweet775,1.0,Undirected
tweet6,tweet778,1.0,Undirected
tweet6,tweet779,1.0,Undirected
tweet6,tweet780,1.0,Undirected
tweet6,tweet781,1.0,Undirected
tweet6,tweet783,1.0,Undirected
tweet6,tweet785,1.0,Undirected
tweet6,tweet786,1.0,Undirected
tweet6,tweet787,1.0,Undirected
tweet6,tweet790,1.0,Undirected
tweet6,tweet791,1.0,Undirected
tweet6,tweet794,1.0,Undirected
tweet6,tweet795,1.0,Undirected
tweet6,tweet796,1.0,Undirected
tweet6,tweet797,1.0,Undirected
tweet6,tweet803,1.0,Undirected
tweet6,tweet804,1.0,Undirected
tweet6,tweet805,1.0,Undirected
tweet6,tweet806,1.0,Undirected
tweet6,tweet809,1.0,Undirected
tweet6,tweet810,1.0,Undirected
tweet6,tweet814,1.0,Undirected
tweet6,tweet815,1.0,Undirected
tweet6,tweet819,1.0,Undirected
tweet6,tweet820,1.0,Undirected
tweet6,tweet821,1.0,Undirected
tweet6,tweet824,1.0,Undirected
tweet6,tweet825,1.0,Undirected
tweet6,tweet827,1.0,Undirected
tweet6,tweet830,1.0,Undirected
tweet6,tweet832,1.0,Undirected
tweet6,tweet835,1.0,Undirected
tweet6,tweet836,1.0,Undirected
tweet6,tweet841,1.0,Undirected
tweet6,tweet842,1.0,Undirected
tweet6,tweet843,1.0,Undirected
tweet6,tweet844,1.0,Undirected
tweet6,tweet846,1.0,Undirected
tweet6,tweet847,1.0,Undirected
tweet6,tweet848,1.0,Undirected
tweet6,tweet850,1.0,Undirected
tweet6,tweet851,1.0,Undirected
tweet6,tweet852,1.0,Undirected
tweet6,tweet853,1.0,Undirected
tweet6,tweet855,1.0,Undirected
tweet6,tweet856,1.0,Undirected
tweet6,tweet857,1.0,Undirected
tweet6,tweet858,1.0,Undirected
tweet6,tweet859,1.0,Undirected
tweet6,tweet860,1.0,Undirected
tweet6,tweet863,1.0,Undirected
tweet6,tweet864,1.0,Undirected
tweet6,tweet866,1.0,Undirected
tweet6,tweet869,1.0,Undirected
tweet6,tweet871,1.0,Undirected
tweet6,tweet872,1.0,Undirected
tweet6,tweet873,1.0,Undirected
tweet6,tweet875,1.0,Undirected
tweet6,tweet877,1.0,Undirected
tweet6,tweet885,1.0,Undirected
tweet6,tweet887,1.0,Undirected
tweet6,tweet888,1.0,Undirected
tweet6,tweet895,1.0,Undirected
tweet6,tweet897,1.0,Undirected
tweet6,tweet898,1.0,Undirected
tweet6,tweet901,1.0,Undirected
tweet6,tweet902,1.0,Undirected
tweet6,tweet905,1.0,Undirected
tweet6,tweet906,1.0,Undirected
tweet6,tweet907,1.0,Undirected
tweet6,tweet909,1.0,Undirected
tweet6,tweet911,1.0,Undirected
tweet6,tweet915,1.0,Undirected
tweet6,tweet918,1.0,Undirected
tweet6,tweet919,1.0,Undirected
tweet6,tweet921,1.0,Undirected
tweet6,tweet922,1.0,Undirected
tweet6,tweet924,1.0,Undirected
tweet6,tweet925,1.0,Undirected
tweet6,tweet927,1.0,Undirected
tweet6,tweet929,1.0,Undirected
tweet6,tweet930,1.0,Undirected
tweet6,tweet931,1.0,Undirected
tweet6,tweet932,1.0,Undirected
tweet6,tweet936,1.0,Undirected
tweet6,tweet937,1.0,Undirected
tweet6,tweet938,1.0,Undirected
tweet6,tweet940,1.0,Undirected
tweet6,tweet942,1.0,Undirected
tweet6,tweet943,1.0,Undirected
tweet6,tweet944,1.0,Undirected
tweet6,tweet945,1.0,Undirected
tweet6,tweet947,1.0,Undirected
tweet6,tweet948,1.0,Undirected
tweet6,tweet950,1.0,Undirected
tweet6,tweet954,1.0,Undirected
tweet6,tweet955,1.0,Undirected
tweet6,tweet956,1.0,Undirected
tweet6,tweet957,1.0,Undirected
tweet6,tweet966,1.0,Undirected
tweet6,tweet969,1.0,Undirected
tweet6,tweet970,1.0,Undirected
tweet6,tweet973,1.0,Undirected
tweet6,tweet975,1.0,Undirected
tweet6,tweet976,1.0,Undirected
tweet6,tweet978,1.0,Undirected
tweet6,tweet981,1.0,Undirected
tweet6,tweet982,1.0,Undirected
tweet6,tweet983,1.0,Undirected
tweet6,tweet986,1.0,Undirected
tweet6,tweet988,1.0,Undirected
tweet6,tweet989,1.0,Undirected
tweet6,tweet992,1.0,Undirected
tweet6,tweet994,1.0,Undirected
tweet6,tweet995,1.0,Undirected
tweet6,tweet996,1.0,Undirected
tweet6,tweet997,1.0,Undirected
tweet6,tweet999,1.0,Undirected
tweet7,tweet18,1.0,Undirected
tweet7,tweet19,1.0,Undirected
tweet7,tweet29,1.0,Undirected
tweet7,tweet30,1.0,Undirected
tweet7,tweet33,1.0,Undirected
tweet7,tweet39,1.0,Undirected
tweet7,tweet62,1.0,Undirected
tweet7,tweet66,1.0,Undirected
tweet7,tweet70,1.0,Undirected
tweet7,tweet73,1.0,Undirected
tweet7,tweet95,1.0,Undirected
tweet7,tweet99,1.0,Undirected
tweet7,tweet102,1.0,Undirected
tweet7,tweet103,1.0,Undirected
tweet7,tweet107,1.0,Undirected
tweet7,tweet112,1.0,Undirected
tweet7,tweet115,1.0,Undirected
tweet7,tweet118,1.0,Undirected
tweet7,tweet119,1.0,Undirected
tweet7,tweet124,1.0,Undirected
tweet7,tweet179,1.0,Undirected
tweet7,tweet182,1.0,Undirected
tweet7,tweet206,1.0,Undirected
tweet7,tweet207,1.0,Undirected
tweet7,tweet208,1.0,Undirected
